1560953593.821207 server started (83070): version 2.7, socket /private/tmp/tmux-501/default, protocol 8
1560953593.821255 on Darwin 18.6.0 Darwin Kernel Version 18.6.0: Thu Apr 25 23:16:27 PDT 2019; root:xnu-4903.261.4~2/RELEASE_X86_64; libevent 2.1.8-stable (select)
1560953593.823064 add peer 0x108201000: 9 (0x7f9ccb003800)
1560953593.823102 new client 0x7f9ccb003800
1560953593.823193 loading /usr/local/etc/tmux.conf
1560953593.823214 loading /Users/james/.tmux.conf
1560953593.823482 /Users/james/.tmux.conf: source-file "${HOME}/configs/.tmux.conf"
1560953593.823519 /Users/james/.tmux.conf: source-file "${HOME}/.tmux-themepack/powerline/block/cyan.tmuxtheme"
1560953593.823559 server loop enter
1560953593.826415 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826420 cmd_find_current_client: no target, return 0x0
1560953593.826429 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826434 cmd_find_current_client: no target, return 0x0
1560953593.826442 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826447 cmd_find_current_client: no target, return 0x0
1560953593.826456 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826461 cmd_find_current_client: no target, return 0x0
1560953593.826471 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826477 cmd_find_current_client: no target, return 0x0
1560953593.826486 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826492 cmd_find_current_client: no target, return 0x0
1560953593.826501 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826507 cmd_find_current_client: no target, return 0x0
1560953593.826517 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826522 cmd_find_current_client: no target, return 0x0
1560953593.826532 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826537 cmd_find_current_client: no target, return 0x0
1560953593.826562 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826568 cmd_find_current_client: no target, return 0x0
1560953593.826578 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826583 cmd_find_current_client: no target, return 0x0
1560953593.826593 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826598 cmd_find_current_client: no target, return 0x0
1560953593.826610 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826615 cmd_find_current_client: no target, return 0x0
1560953593.826625 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826631 cmd_find_current_client: no target, return 0x0
1560953593.826640 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826646 cmd_find_current_client: no target, return 0x0
1560953593.826656 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826661 cmd_find_current_client: no target, return 0x0
1560953593.826670 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826676 cmd_find_current_client: no target, return 0x0
1560953593.826687 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826692 cmd_find_current_client: no target, return 0x0
1560953593.826704 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826709 cmd_find_current_client: no target, return 0x0
1560953593.826721 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826726 cmd_find_current_client: no target, return 0x0
1560953593.826737 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826743 cmd_find_current_client: no target, return 0x0
1560953593.826753 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826758 cmd_find_current_client: no target, return 0x0
1560953593.826767 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826773 cmd_find_current_client: no target, return 0x0
1560953593.826782 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826788 cmd_find_current_client: no target, return 0x0
1560953593.826797 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826802 cmd_find_current_client: no target, return 0x0
1560953593.826812 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826817 cmd_find_current_client: no target, return 0x0
1560953593.826826 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826832 cmd_find_current_client: no target, return 0x0
1560953593.826841 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826847 cmd_find_current_client: no target, return 0x0
1560953593.826856 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826862 cmd_find_current_client: no target, return 0x0
1560953593.826871 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826876 cmd_find_current_client: no target, return 0x0
1560953593.826886 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826892 cmd_find_current_client: no target, return 0x0
1560953593.826901 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826907 cmd_find_current_client: no target, return 0x0
1560953593.826916 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826921 cmd_find_current_client: no target, return 0x0
1560953593.826931 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826936 cmd_find_current_client: no target, return 0x0
1560953593.826946 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826951 cmd_find_current_client: no target, return 0x0
1560953593.826961 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826967 cmd_find_current_client: no target, return 0x0
1560953593.826976 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826981 cmd_find_current_client: no target, return 0x0
1560953593.826991 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826996 cmd_find_current_client: no target, return 0x0
1560953593.827006 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.827011 cmd_find_current_client: no target, return 0x0
1560953593.827017 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.827030 cmd_find_current_client: no target, return 0x0
1560953593.827037 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.827041 cmd_find_current_client: no target, return 0x0
1560953593.827046 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.827050 cmd_find_current_client: no target, return 0x0
1560953593.827056 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.827060 cmd_find_current_client: no target, return 0x0
1560953593.827066 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.827069 cmd_find_current_client: no target, return 0x0
1560953593.827076 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.827079 cmd_find_current_client: no target, return 0x0
1560953593.827086 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.827089 cmd_find_current_client: no target, return 0x0
1560953593.827095 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.827099 cmd_find_current_client: no target, return 0x0
1560953593.827105 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.827109 cmd_find_current_client: no target, return 0x0
1560953593.827115 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.827119 cmd_find_current_client: no target, return 0x0
1560953593.827125 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.827129 cmd_find_current_client: no target, return 0x0
1560953593.827137 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.827141 cmd_find_current_client: no target, return 0x0
1560953593.827148 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.827151 cmd_find_current_client: no target, return 0x0
1560953593.827160 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.827163 cmd_find_current_client: no target, return 0x0
1560953593.827171 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.827175 cmd_find_current_client: no target, return 0x0
1560953593.827183 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.827187 cmd_find_current_client: no target, return 0x0
1560953593.827194 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.827198 cmd_find_current_client: no target, return 0x0
1560953593.827205 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.827208 cmd_find_current_client: no target, return 0x0
1560953593.827215 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.827218 cmd_find_current_client: no target, return 0x0
1560953593.827225 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.827228 cmd_find_current_client: no target, return 0x0
1560953593.827235 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.827238 cmd_find_current_client: no target, return 0x0
1560953593.827247 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.827253 cmd_find_current_client: no target, return 0x0
1560953593.827259 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.827263 cmd_find_current_client: no target, return 0x0
